;language:;French;;;;;;;;;;;;;;;;;;;;;;;
;corpus:;French Web 2012;;;;;;;;;;;;;;;;;;;;;;;
;word form;frequence;;;;;;;;;;;;;;;;;;;;;;;
1;Ha?ti;127 534;1;;;;;;;;;;;;;;;;;;;;;;
2;ma?s;98 244;0,770335754;;;;;;;;;;;;;;;;;;;;;;
3;mo?se;89 078;0,698464723;;;;;;;;;;;;;;;;;;;;;;
4;la?citÇ;82 516;0,647011777;;;;;;;;;;;;;;;;;;;;;;
5;hÇro?ne;79 704;0,624962755;;;;;;;;;;;;;;;;;;;;;;
6;Tha?lande;63 531;0,498149513;;;;;;;;;;;;;;;;;;;;;;
7;Cara?bes;58 463;0,45841109;;;;;;;;;;;;;;;;;;;;;;
8;la?que;55 638;0,436260135;;;;;;;;;;;;;;;;;;;;;;
9;juda?sme;52 920;0,414948171;;;;;;;;;;;;;;;;;;;;;;
10;Çgo?ste;49 957;0,39171515;;;;;;;;;;;;;;;;;;;;;;
11;mosa?que;49 919;0,391417191;;;;;;;;;;;;;;;;;;;;;;
12;ambigu?tÇ;49 460;0,38781815;;;;;;;;;;;;;;;;;;;;;;
13;na?f;48 028;0,376589772;;;;;;;;;;;;;;;;;;;;;;
14;co?ncidence;40 976;0,321294714;;;;;;;;;;;;;;;;;;;;;;
15;Çgo?sme;40 347;0,316362695;;;;;;;;;;;;;;;;;;;;;;
16;na?vetÇ;39 546;0,310082017;;;;;;;;;;;;;;;;;;;;;;
17;hÇro?que;39 464;0,309439052;;;;;;;;;;;;;;;;;;;;;;
18;photovolta?que;38 357;0,300759013;;;;;;;;;;;;;;;;;;;;;;
19;na?ve;38 215;0,299645585;;;;;;;;;;;;;;;;;;;;;;
20;coca?ne;36 048;0,282654037;;;;;;;;;;;;;;;;;;;;;;
21;la?cs;35 401;0,27758088;;;;;;;;;;;;;;;;;;;;;;
22;lo?c;33 649;0,263843367;;;;;;;;;;;;;;;;;;;;;;
23;Duba?;32 450;0,254441953;;;;;;;;;;;;;;;;;;;;;;
24;pa?ens;31 935;0,250403814;;;;;;;;;;;;;;;;;;;;;;
25;a?e;31 761;0,249039472;;;;;;;;;;;;;;;;;;;;;;
26;ha?tien;29 782;0,233522041;;;;;;;;;;;;;;;;;;;;;;
27;ha?tiens;28 973;0,227178635;;;;;;;;;;;;;;;;;;;;;;
28;photovolta?ques;28 287;0,221799677;;;;;;;;;;;;;;;;;;;;;;
29;Sa?d;27 540;0,215942415;;;;;;;;;;;;;;;;;;;;;;
30;ou?e;26 176;0,205247228;;;;;;;;;;;;;;;;;;;;;;
31;archa?que;24 100;0,188969216;;;;;;;;;;;;;;;;;;;;;;
32;ha?tienne;23 795;0,186577697;;;;;;;;;;;;;;;;;;;;;;
33;la?ques;23 309;0,182766948;;;;;;;;;;;;;;;;;;;;;;
34;co?ncide;23 082;0,180987031;;;;;;;;;;;;;;;;;;;;;;
35;ha?r;22 206;0,174118274;;;;;;;;;;;;;;;;;;;;;;
36;Al-qa?da;22 067;0,173028369;;;;;;;;;;;;;;;;;;;;;;
37;na?fs;21 420;0,167955212;;;;;;;;;;;;;;;;;;;;;;
38;parano?a;20 959;0,16434049;;;;;;;;;;;;;;;;;;;;;;
39;inou?e;20 111;0,157691282;;;;;;;;;;;;;;;;;;;;;;
40;ana?s;20 038;0,157118886;;;;;;;;;;;;;;;;;;;;;;
